last,first,state,congress,icpsr,majority,afam,latino,votepct,chair,subchr,seniority,state_leg,state_leg_prof,maj_leader,min_leader,votepct_sq,les,south_dem,minwomen,meddist,majwomen,house_service,house_les,amles,power,up_for_reelection,freshman,retiree,altamles,sensq,thomas_name,st_name,cd,house,senate,fullamles
,,,93,7333,1,0,0,68,0,0,6,1,0.22400001,0,0,4624,0.60793406,1,0,0.33900002,0,,,,1,,0,,,36,"Pepper, Claude",FL,14,1,0,
Humphrey,Hubert,MN,93,4728,1,0,0,58,0,1,2,0,0,0,0,3364,1.8986865,0,0,0.221,0,0,0,,1,0,0,0,,4,,,,0,1,
,,,93,10583,1,0,0,72,0,1,6,0,0,0,0,5184,0.13334495,0,0,0.59600002,0,,,,0,,0,,,36,"Edwards, Don",CA,9,1,0,
,,,93,12029,0,0,0,77,0,0,3,1,0.169,0,0,5929,0.3934449,0,0,0.33899999,0,,,,0,,0,,,9,"Sebelius, Keith",KS,1,1,0,
,,,93,10517,0,0,0,69,0,0,7,0,0,0,0,4761,0.65942609,0,0,0.23200001,0,,,,0,,0,,,49,"Findley, Paul",IL,20,1,0,
McClure,James,ID,93,11029,0,0,0,52,0,0,1,1,0.17900001,0,0,2704,0.59844363,0,0,0.602,0,0,0,,0,0,1,0,,1,,,,0,1,
,,,93,13040,1,0,0,74,0,0,2,0,0,0,0,5476,1.3153251,0,0,0.45499998,0,,,,0,,0,,,4,"Seiberling, John",OH,14,1,0,
,,,93,14057,0,0,0,64,0,0,1,0,0,0,0,4096,0.10556471,0,0,0.41499999,0,,,,0,,1,,,1,"Taylor, G.",MO,7,1,0,
Stevenson,Adlai,IL,93,13102,1,0,0,58,0,1,2,1,0.34400001,0,0,3364,0.62597054,0,0,0.207,0,0,0,,0,1,0,0,,4,,,,0,1,
,,,93,13048,1,0,0,54,0,0,2,0,0,0,0,2916,0.062020905,1,0,0.116,0,,,,0,,0,,,4,"Davis, Mendel",SC,1,1,0,
,,,93,10446,1,0,0,100,0,0,9,0,0,0,0,10000,0.1924464,1,0,0.197,0,,,,1,,0,,,81,"Young, John",TX,14,1,0,
,,,93,5326,1,0,0,73,0,1,12,1,0.34400001,0,0,5329,0.025842045,0,0,0.27000001,0,,,,0,,0,,,144,"Kluczynski, John",IL,5,1,0,
,,,93,12037,0,0,0,43,0,0,3,0,0,0,0,1849,0.19950058,0,0,0.39299998,0,,,,0,,0,,,9,"Goldwater, Barry",CA,27,1,0,
,,,93,10790,1,0,0,69,0,1,5,1,0.52600002,0,0,4761,1.1828909,0,0,0.31900001,0,,,,0,,0,,,25,"Rees, Thomas",CA,26,1,0,
,,,93,11061,1,0,0,63,0,0,4,1,0.142,0,0,3969,0.54991871,0,0,0.331,0,,,,1,,0,,,16,"Tiernan, Robert",RI,2,1,0,
,,,93,14010,0,0,0,54,0,0,1,0,0,0,0,2916,0.25945413,0,0,0.116,0,,,,0,,1,,,1,"Cohen, William",ME,2,1,0,
,,,93,10602,1,0,0,69,0,0,1,0,0,0,0,4761,0.020673634,1,0,0.214,0,,,,1,,1,,,1,"Long, Gillis",LA,8,1,0,
,,,93,11050,0,0,0,63,0,0,4,1,0.26899999,0,0,3969,0.60877568,0,0,0.55699998,0,,,,0,,0,,,16,"Steiger, Sam",AZ,3,1,0,
,,,93,10597,0,0,0,67,0,0,6,1,0.463,0,0,4489,0.072357722,0,0,0.47999999,0,,,,0,,0,,,36,"Hutchinson, Edward",MI,4,1,0,
,,,93,11063,0,0,0,55,0,0,4,0,0,0,0,3025,0.043414634,0,0,0.039999999,0,,,,0,,0,,,16,"McCloskey, Paul",CA,17,1,0,
,,,93,10715,1,0,0,59,0,1,5,0,0,0,0,3481,1.0211477,0,0,0.259,0,,,,0,,0,,,25,"Culver, John",IA,2,1,0,
,,,93,12012,0,0,0,57,0,0,3,1,0.14300001,0,0,3249,0.056852497,0,0,0.55500001,0,,,,0,,0,,,9,"Dennis, David",IN,10,1,0,
,,,93,13014,0,0,0,63,0,0,2,1,0.17900001,0,0,3969,0.14678282,0,0,0.176,0,,,,0,,0,,,4,"du Pont, Pierre",DE,1,1,0,
,,,93,7228,1,0,0,100,0,1,14,0,0,0,0,10000,0.94155836,1,0,0.041000001,0,,,,1,,0,,,196,"Passman, Otto",LA,5,1,0,
,,,93,12006,0,0,0,73,0,0,3,1,0.249,0,0,5329,0.46847761,0,0,0.47999999,0,,,,0,,0,,,9,"Camp, John",OK,6,1,0,
Stennis,John,MS,93,8883,1,0,0,88,1,1,14,1,0.185,0,0,7744,0.97773814,1,0,0.075999998,0,0,0,,1,0,0,0,,196,,,,0,1,
,,,93,10614,1,0,0,91,0,0,6,0,0,0,0,8281,0.2377468,1,0,0.119,0,,,,0,,0,,,36,"Pickle, J.",TX,10,1,0,
Bentsen,Lloyd,TX,93,660,1,0,0,53,0,1,2,0,0,0,0,2809,1.1193876,1,0,0.011999996,0,0,0,,1,0,0,0,,4,,,,0,1,
,,,93,11062,0,0,0,55,0,0,4,0,0,0,0,3025,0.20260163,0,0,0.39899999,0,,,,0,,0,,,16,"Price, Robert",TX,13,1,0,
,,,93,12028,0,0,0,60,0,0,3,0,0,0,0,3600,0.010336817,0,0,0.373,0,,,,1,,0,,,9,"Ruth, Earl",NC,8,1,0,
,,,93,14062,1,0,0,74,0,0,1,1,0.191,0,0,5476,2.5291278,1,0,0.16399999,0,,,,0,,1,,,1,"Wilson, Charles",TX,2,1,0,
,,,93,10773,0,0,0,68,0,0,5,0,0,0,0,4624,0.041347269,0,0,0.164,0,,,,0,,0,,,25,"Stanton, J.",OH,11,1,0,
,,,93,13027,1,0,0,55,0,0,2,1,0.082000002,0,0,3025,0.51677805,0,0,0.19399999,0,,,,1,,0,,,4,"McKay, K.",UT,1,1,0,
